display_no,idx,title,expected_type,old_type,ext_article_type,promotional_likelihood,matched_rule,promotional_score,classification_basis,title_signal,description_signal,old_correct,old_changed_from_expected,pr_expected_high,pr_got_high
#01,0,"니어솔루션, '2026 AI Korea 대전' 3년 연속 수상...WES 넘어 피지컬 AI로",보도자료형,보도자료형,일반 기사,높음,,0,title_only,연속 수상,,True,False,True,True
#02,1,"ARC리서치 ""나무기술, 구독 매출 비중 확대""",인터뷰,인터뷰,인터뷰,낮음,,0,title_only,,,True,False,False,False
#03,2,"삼성전자, 대표 직속 'RX사업추진실' 출범...세계 최고 '로봇 손' 탄생하...",일반 기사,일반 기사,일반 기사,낮음,,0,title_only,,,True,False,False,False
#04,3,"고성능 '프로' 대신 효율… 구글, '제미나이 플래시' 3종 공개",보도자료형,보도자료형,일반 기사,높음,P2c,1,title_only,공개,,True,False,True,True
#05,4,"구글, 제미나이 '프로' 없이 '플래시' 모델들만 출시...'가성비' 전략",일반 기사,일반 기사,일반 기사,보통,,1,title_only,출시,,True,False,False,False
#06,5,"[신간] 황영오 박사 'AX 에이전트 경영', 한 달 만에 2쇄 돌입",보도자료형,보도자료형,일반 기사,높음,,0,title_only,[신간],,True,False,True,True
#07,6,"웹케시, ‘IBK 디지털뱅킹 리빌딩 1단계’ 사업 공급계약",보도자료형,보도자료형,일반 기사,높음,,2,title_only,공급계약,,True,False,True,True
#08,7,[박나룡 보안칼럼] 외교부 해킹이 드러낸 국가 보안의 민낯,기획·분석,기획·분석,기획·분석,낮음,,0,title_only,,,True,False,False,False
#09,8,"""해킹 공격자들은 늘 같은 곳을 노린다""...기업이 꼭 지켜야 할 보안 수...",인터뷰,인터뷰,인터뷰,낮음,,0,title_only,,,True,False,False,False
#10,9,"해킹은 진화하는데 방어 체계는 여전...KISA ""공격 동선 따라 보안체계...",인터뷰,인터뷰,인터뷰,낮음,,0,title_only,,,True,False,False,False
#11,10,"AI가 AI를 공격하는 시대, 'AI 하네스' 세대교체 진행중",일반 기사,일반 기사,일반 기사,낮음,,0,title_only,,,True,False,False,False
