idx,title,url,media,pub_date,keyword,cluster,expected_type,expected_category,human_label_reason,pipeline_type,stale_pipeline_type,confidence,score,ax1,ax2,ax3,ax4,ax5,ax6,deduct,type_correct
1,"니어솔루션, '2026 AI Korea 대전' 3년 연속 수상...WES 넘어 피지컬 AI로",https://www.etnews.com/20260722000263,전자신문,2026-07-22,AI 에이전트 기업,,보도자료형,AI·AX 시장동향,니어솔루션 '3년 연속 수상' 알림. 수상·기업 행사 발표 = 보도자료형.,보도자료형,일반 기사,낮음,25,3,2,0,5,10,5,0,Y
2,"ARC리서치 ""나무기술, 구독 매출 비중 확대""",https://www.cstimes.com/news/articleView.html?idxno=714261,CSTIMES,2026-07-22,AI 에이전트 기업,,인터뷰,AI·AX 시장동향,ARC리서치 애널리스트가 나무기술 주가에 코멘트. 특정인 발언 중심 = 인터뷰.,인터뷰,인터뷰,보통,30,3,8,5,5,4,5,0,Y
3,"삼성전자, 대표 직속 'RX사업추진실' 출범...세계 최고 '로봇 손' 탄생하...",https://www.ekoreanews.co.kr/news/articleView.html?idxno=87105,EKOREANEWS,2026-07-22,AI 에이전트 기업,,일반 기사,AI·AX 시장동향,삼성전자 RX사업추진실 출범. 조직 개편 사실 전달 = 일반 기사.,일반 기사,일반 기사,보통,21,3,5,0,5,3,5,0,Y
4,"고성능 '프로' 대신 효율… 구글, '제미나이 플래시' 3종 공개",https://it.chosun.com/news/articleView.html?idxno=2023092166254,IT조선,2026-07-22,AI 에이전트 기업,,보도자료형,AI·AX 시장동향,구글 제미나이 플래시 3종 공개 발표. 신규 모델 라인업 출시 = 보도자료형.,일반 기사,보도자료형,낮음,3,3,2,0,5,8,5,-20,N
5,"구글, 제미나이 '프로' 없이 '플래시' 모델들만 출시...'가성비' 전략",https://www.hankookilbo.com/news/article/A2026072207410000830?did=NA,한국일보,2026-07-22,AI 에이전트 기업,,일반 기사,AI·AX 시장동향,구글 플래시 전략 해석 후속 기사. 제품 발표 자체가 아닌 전략 각도 = 일반 기사.,일반 기사,일반 기사,보통,27,3,2,4,5,8,5,0,Y
6,"[신간] 황영오 박사 'AX 에이전트 경영', 한 달 만에 2쇄 돌입",https://www.businesskorea.co.kr/news/articleView.html?idxno=273409,BUSINESSKOREA,2026-07-22,AI 에이전트 기업,,보도자료형,AI·AX 시장동향,[신간] 브래킷 + 박사 신간 발간. 출판사·저자 PR = 보도자료형.,보도자료형,행사·현장,보통,30,3,8,5,5,4,5,0,Y
7,"웹케시, ‘IBK 디지털뱅킹 리빌딩 1단계’ 사업 공급계약",https://www.dt.co.kr/article/12074128?ref=naver,디지털타임스,2026-07-22,AI 에이전트 기업,,보도자료형,AI·AX 시장동향,웹케시 IBK 공급계약 체결. '공급계약' = 강한 PR 신호.,보도자료형,보도자료형,보통,6,3,5,0,5,8,5,-20,Y
8,[박나룡 보안칼럼] 외교부 해킹이 드러낸 국가 보안의 민낯,https://www.dailysecu.com/news/articleView.html?idxno=207733,데일리시큐,2026-07-22,랜섬웨어 침해 사고,,기획·분석,리스크,[박나룡 보안칼럼] 편집 마커. 외교부 해킹 분석 칼럼 = 기획·분석.,기획·분석,일반 기사,높음,49,15,8,11,2,8,5,0,Y
9,"""해킹 공격자들은 늘 같은 곳을 노린다""...기업이 꼭 지켜야 할 보안 수...",https://www.techm.kr/news/articleView.html?idxno=153568,TECHM,2026-07-22,랜섬웨어 침해 사고,,인터뷰,클라우드·보안,'늘 같은 곳을 노린다' 보안 전문가 발언 중심 = 인터뷰.,인터뷰,인터뷰,보통,37,10,8,5,5,4,5,0,Y
10,"해킹은 진화하는데 방어 체계는 여전...KISA ""공격 동선 따라 보안체계...",https://www.techm.kr/news/articleView.html?idxno=153562,TECHM,2026-07-22,랜섬웨어 침해 사고,,인터뷰,클라우드·보안,KISA '공격 동선 따라 보안체계를' 발언 중심. #09와 동일 매체(TECHM) 다른 기사.,인터뷰,인터뷰,낮음,31,10,8,0,5,3,5,0,Y
